asin,workbook_account,workbook_sku,workbook_mapped_sku,workbook_june2025_sales,workbook_june2025_orders,workbook_june2026_sales,workbook_june2026_orders,db_fbm_sales_2025,db_fba_sales_2025,db_vendor_sales_2025,db_total_sales_2025,db_orders_2025,db_vendor_units_2025,db_fbm_sales_2026,db_fba_sales_2026,db_vendor_sales_2026,db_total_sales_2026,db_orders_2026,db_vendor_units_2026,sales_diff_2025_wb_minus_db,sales_diff_2026_wb_minus_db,reason,root_cause_note
B0GQ48BNBZ,DCvoltage,LSGLSC115AR+RPM40WH,LSGLSC115AR+RPM40WH,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,307.38,0.0,0.0,307.38,19,0,0.0,-307.38,UNRESOLVED,"Workbook cached value is 0 for ALL 1723 rows in this file (proven: SUM=0 across every June/July column). This is a stale/unrefreshed Google-Sheets IMPORTRANGE export, not a genuine business difference. Cannot be categorized as an account/marketplace/status/Vendor-scope difference because the workbook provides no comparable non-zero figure to diagnose against."
B0CPBW4PFF,DCvoltage,LSCY290BS+RPR44WH R,LSCY290BS+RPR44WH,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B0DFHQGPZP,DCvoltage,LSCY290GR+RPR44WH -AC,LSCY290GR+RPR44WH,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,15.89,0.0,0.0,15.89,1,0,0.0,-15.89,UNRESOLVED,"Workbook cached value is 0 for ALL 1723 rows in this file (proven: SUM=0 across every June/July column). This is a stale/unrefreshed Google-Sheets IMPORTRANGE export, not a genuine business difference. Cannot be categorized as an account/marketplace/status/Vendor-scope difference because the workbook provides no comparable non-zero figure to diagnose against."
B0CWNGXP1Z,DCvoltage,RWWPSYAE50WH,,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B0F48NJ6CP,DCvoltage,RWWPSY0630YE DS,RWWPSY0630YE,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B0F87NVH88,DCvoltage,LSTF400YE2PK+RPR44WH2PK_1,,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B0DZWWQWST,DCvoltage,RWWPSY08150YE-U,RWWPSY08150YE,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B0DJFD9Q82,Ledsone,LSFT220BM3PK+RPR44WH3PK-AMX,LSFT220BM3PK+RPR44WH3PK,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B0CVN8F88Z,Ledsone,RWWPSYAE50WH,,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B0CW9SBJBD,Ledsone,LSDO210OR2PK+RPR44WH2PK-AMN,,0.0,0,0.0,0,57.69,39.61,0.0,97.3,5,0,0.0,0.0,0.0,0.0,0,0,-97.3,0.0,UNRESOLVED,"Workbook cached value is 0 for ALL 1723 rows in this file (proven: SUM=0 across every June/July column). This is a stale/unrefreshed Google-Sheets IMPORTRANGE export, not a genuine business difference. Cannot be categorized as an account/marketplace/status/Vendor-scope difference because the workbook provides no comparable non-zero figure to diagnose against."
B097KBBBPK,DCvoltage,LSFT220BB+RPR44WH V,LSHQ180BM+RPR44WH,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B0CTT4CH4C,DCvoltage,LSMS320GR+RPR44WH -AMD,,0.0,0,0.0,0,44.97,126.71,0.0,171.68,9,0,44.97,87.69,0.0,132.66,8,0,-171.68,-132.66,UNRESOLVED,"Workbook cached value is 0 for ALL 1723 rows in this file (proven: SUM=0 across every June/July column). This is a stale/unrefreshed Google-Sheets IMPORTRANGE export, not a genuine business difference. Cannot be categorized as an account/marketplace/status/Vendor-scope difference because the workbook provides no comparable non-zero figure to diagnose against."
B0DDTX9QLZ,DCvoltage,LSDO300GY+RPR44WH -GY,LSDO300GY+RPR44WH,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B08VGP666V,DCvoltage,LSCY290WH+RPR44WH W,LSCY290WH+RPR44WH,0.0,0,0.0,0,103.43,0.0,0.0,103.43,7,0,0.0,110.21,0.0,110.21,7,0,-103.43,-110.21,UNRESOLVED,"Workbook cached value is 0 for ALL 1723 rows in this file (proven: SUM=0 across every June/July column). This is a stale/unrefreshed Google-Sheets IMPORTRANGE export, not a genuine business difference. Cannot be categorized as an account/marketplace/status/Vendor-scope difference because the workbook provides no comparable non-zero figure to diagnose against."
B0FX2GW4T4,Ledsone,LSCYRO200BM2PK+RPR44WH2PK,,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B0CBC2P2F2,DCvoltage,LSCP150BD+RPR44WH KR,,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B0G39TDFLX,Ledsone,LSCG185AR+SCRN70FG,,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,18.59,0.0,0.0,18.59,1,0,0.0,-18.59,UNRESOLVED,"Workbook cached value is 0 for ALL 1723 rows in this file (proven: SUM=0 across every June/July column). This is a stale/unrefreshed Google-Sheets IMPORTRANGE export, not a genuine business difference. Cannot be categorized as an account/marketplace/status/Vendor-scope difference because the workbook provides no comparable non-zero figure to diagnose against."
B0CVH31X72,DCvoltage,RWWPSY10120YE2PK,,0.0,0,0.0,0,20.59,0.0,0.0,20.59,1,0,0.0,0.0,0.0,0.0,0,0,-20.59,0.0,UNRESOLVED,"Workbook cached value is 0 for ALL 1723 rows in this file (proven: SUM=0 across every June/July column). This is a stale/unrefreshed Google-Sheets IMPORTRANGE export, not a genuine business difference. Cannot be categorized as an account/marketplace/status/Vendor-scope difference because the workbook provides no comparable non-zero figure to diagnose against."
B08VD5W87X,DCvoltage,LSSS300BC+RPR44WH G,LSSS300BC+RPR44WH,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,14.99,0.0,0.0,14.99,1,0,0.0,-14.99,UNRESOLVED,"Workbook cached value is 0 for ALL 1723 rows in this file (proven: SUM=0 across every June/July column). This is a stale/unrefreshed Google-Sheets IMPORTRANGE export, not a genuine business difference. Cannot be categorized as an account/marketplace/status/Vendor-scope difference because the workbook provides no comparable non-zero figure to diagnose against."
B0CVL5VZ1Y,Ledsone,LSTF400GR+RPR44WH,LSTF400GR+RPR44WH,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B093H9BJWL,Ledsone,LSMS320RE+RPR44WH D,LSMS320RE+RPR44WH,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B08HZ417CV,DCvoltage,LSFT220BG3PK T,LSFT220BG3PK+RPR44WH3PK,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B0D9Q668K7,DCvoltage,LSGLCY100BM2PK,LSGL15014CL2PK+RPM40WH2PK,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,37.78,0.0,0.0,37.78,2,0,0.0,-37.78,UNRESOLVED,"Workbook cached value is 0 for ALL 1723 rows in this file (proven: SUM=0 across every June/July column). This is a stale/unrefreshed Google-Sheets IMPORTRANGE export, not a genuine business difference. Cannot be categorized as an account/marketplace/status/Vendor-scope difference because the workbook provides no comparable non-zero figure to diagnose against."
B0F9WYKMF1,Ledsone,LSFT220BG+RPR44WH_2,LSFT220BG+RPR44WH,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B08NW4ZPX3,DCvoltage,LSCY210BS+RPR44WH,,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B0CPBWBX63,DCvoltage,LSCY290BB+RPR44WH R,LSCY290BB+RPR44WH,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B0BWTX6NJ8,DCvoltage,LSCP150BD+RPR44WH A,LSCP150BD+RPR44WH,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,23.78,0.0,0.0,23.78,2,0,0.0,-23.78,UNRESOLVED,"Workbook cached value is 0 for ALL 1723 rows in this file (proven: SUM=0 across every June/July column). This is a stale/unrefreshed Google-Sheets IMPORTRANGE export, not a genuine business difference. Cannot be categorized as an account/marketplace/status/Vendor-scope difference because the workbook provides no comparable non-zero figure to diagnose against."
B0D9Q4GXJ7,DCvoltage,LSGLSC150BM,LSGLSC150BM+RPM40WH,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B0CVN6WP57,Ledsone,RWWPSYAE25WH,,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B0CGZSD2RV,Ledsone,LSMCSPFLMC2PK+RPR44WH2PK-AMN,LSMCSPFLMC2PK+RPM40WH2PK,0.0,0,0.0,0,128.37,83.44,0.0,211.81,5,0,131.25,0.0,0.0,131.25,2,0,-211.81,-131.25,UNRESOLVED,"Workbook cached value is 0 for ALL 1723 rows in this file (proven: SUM=0 across every June/July column). This is a stale/unrefreshed Google-Sheets IMPORTRANGE export, not a genuine business difference. Cannot be categorized as an account/marketplace/status/Vendor-scope difference because the workbook provides no comparable non-zero figure to diagnose against."
B0CJCF4J3H,DCvoltage,LSSS300BL2PK+RPR44WH2PK,,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B0CPBTW85Y,DCvoltage,LSCY290GY+RPR44WH R,LSCY290GY+RPR44WH,0.0,0,0.0,0,13.94,0.0,0.0,13.94,1,0,0.0,0.0,0.0,0.0,0,0,-13.94,0.0,UNRESOLVED,"Workbook cached value is 0 for ALL 1723 rows in this file (proven: SUM=0 across every June/July column). This is a stale/unrefreshed Google-Sheets IMPORTRANGE export, not a genuine business difference. Cannot be categorized as an account/marketplace/status/Vendor-scope difference because the workbook provides no comparable non-zero figure to diagnose against."
B0CVL8N94Y,DCvoltage,LSTF400OR+RPR44WH,,0.0,0,0.0,0,32.78,0.0,0.0,32.78,2,0,16.39,0.0,0.0,16.39,1,0,-32.78,-16.39,UNRESOLVED,"Workbook cached value is 0 for ALL 1723 rows in this file (proven: SUM=0 across every June/July column). This is a stale/unrefreshed Google-Sheets IMPORTRANGE export, not a genuine business difference. Cannot be categorized as an account/marketplace/status/Vendor-scope difference because the workbook provides no comparable non-zero figure to diagnose against."
B0CPBWKXZR,DCvoltage,LSCY290RO+RPR44WH R,LSCY290RO+RPR44WH,0.0,0,0.0,0,35.18,0.0,0.0,35.18,2,0,0.0,0.0,0.0,0.0,0,0,-35.18,0.0,UNRESOLVED,"Workbook cached value is 0 for ALL 1723 rows in this file (proven: SUM=0 across every June/July column). This is a stale/unrefreshed Google-Sheets IMPORTRANGE export, not a genuine business difference. Cannot be categorized as an account/marketplace/status/Vendor-scope difference because the workbook provides no comparable non-zero figure to diagnose against."
B0DZWXH2TF,DCvoltage,RWWPSY10120YE-U,RWWPSY10120YE,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B0DXQBPJRS,Ledsone,LSCY290YE2PK+RPR44WH2PK-U,LSCY290YE2PK+RPR44WH2PK,0.0,0,0.0,0,26.5,0.0,0.0,26.5,1,0,0.0,25.89,0.0,25.89,1,0,-26.5,-25.89,UNRESOLVED,"Workbook cached value is 0 for ALL 1723 rows in this file (proven: SUM=0 across every June/July column). This is a stale/unrefreshed Google-Sheets IMPORTRANGE export, not a genuine business difference. Cannot be categorized as an account/marketplace/status/Vendor-scope difference because the workbook provides no comparable non-zero figure to diagnose against."
B08TM2GGZQ,DCvoltage,S6-C4FT-2NT4,LSFT220GR+RPR44WH,0.0,0,0.0,0,11.89,0.0,0.0,11.89,1,0,11.89,0.0,0.0,11.89,1,0,-11.89,-11.89,UNRESOLVED,"Workbook cached value is 0 for ALL 1723 rows in this file (proven: SUM=0 across every June/July column). This is a stale/unrefreshed Google-Sheets IMPORTRANGE export, not a genuine business difference. Cannot be categorized as an account/marketplace/status/Vendor-scope difference because the workbook provides no comparable non-zero figure to diagnose against."
B08VGPPQ48,DCvoltage,LSCY290GY+RPR44WH W,LSCY290GY+RPR44WH,0.0,0,0.0,0,140.52,958.37,0.0,1098.89,60,0,0.0,137.61,0.0,137.61,9,0,-1098.89,-137.61,UNRESOLVED,"Workbook cached value is 0 for ALL 1723 rows in this file (proven: SUM=0 across every June/July column). This is a stale/unrefreshed Google-Sheets IMPORTRANGE export, not a genuine business difference. Cannot be categorized as an account/marketplace/status/Vendor-scope difference because the workbook provides no comparable non-zero figure to diagnose against."
B0D2949Q4K,Ledsone,LSCY290BS3PK+RPR44WH3PK LS,LSCY290BS3PK+RPR44WH3PK,0.0,0,0.0,0,38.49,0.0,0.0,38.49,1,0,0.0,0.0,0.0,0.0,0,0,-38.49,0.0,UNRESOLVED,"Workbook cached value is 0 for ALL 1723 rows in this file (proven: SUM=0 across every June/July column). This is a stale/unrefreshed Google-Sheets IMPORTRANGE export, not a genuine business difference. Cannot be categorized as an account/marketplace/status/Vendor-scope difference because the workbook provides no comparable non-zero figure to diagnose against."
B0CVL32JC1,Ledsone,LSTF400GY+RPR44WH,LSTF400GY+RPR44WH,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,MATCH,
B0F1CX6BYH,DCvoltage,RWWPSY0680YE-UK,RWWPSY0680YE,0.0,0,0.0,0,2.89,0.0,0.0,2.89,1,0,0.0,0.0,0.0,0.0,0,0,-2.89,0.0,UNRESOLVED,"Workbook cached value is 0 for ALL 1723 rows in this file (proven: SUM=0 across every June/July column). This is a stale/unrefreshed Google-Sheets IMPORTRANGE export, not a genuine business difference. Cannot be categorized as an account/marketplace/status/Vendor-scope difference because the workbook provides no comparable non-zero figure to diagnose against."
