asin,source_fbm_orders,html_fbm_orders,fbm_diff,source_fba_orders,html_fba_orders,fba_diff,source_total_orders,html_total_orders,total_diff,result
B07WP51SL6,5,5,0,0,0,0,5,5,0,PASS
B07YZLMKQK,0,0,0,0,0,0,0,0,0,PASS
B084MG7VWS,1,1,0,0,0,0,1,1,0,PASS
B084RC5DQG,1,1,0,0,0,0,1,1,0,PASS
B084SRKT9H,0,0,0,0,0,0,0,0,0,PASS
B084SWSKBF,0,0,0,0,0,0,0,0,0,PASS
B086YSPMYX,1,1,0,0,0,0,1,1,0,PASS
B08996H95C,1,1,0,0,0,0,1,1,0,PASS
B08999M992,3,3,0,0,0,0,3,3,0,PASS
B0899R8JXK,1,1,0,0,0,0,1,1,0,PASS
B08DK37N5Y,2,2,0,0,0,0,2,2,0,PASS
B08DK76YF6,17,17,0,0,0,0,17,17,0,PASS
B08DK9V4KM,2,2,0,0,0,0,2,2,0,PASS
B08DKKTNGY,6,6,0,0,0,0,6,6,0,PASS
B08DKLGDYK,12,12,0,0,0,0,12,12,0,PASS
B08DKMMQS7,2,2,0,2,2,0,4,4,0,PASS
B08DKQP89H,17,17,0,3,3,0,20,20,0,PASS
B08DKQPKYC,3,3,0,0,0,0,3,3,0,PASS
B08DKQPVX6,5,5,0,0,0,0,5,5,0,PASS
B08DQTFMHS,2,2,0,0,0,0,2,2,0,PASS
B08DR2NXGH,5,5,0,0,0,0,5,5,0,PASS
B08DR5S9J5,48,48,0,0,0,0,48,48,0,PASS
B08DR9NXTT,7,7,0,0,0,0,7,7,0,PASS
B08FXC7DRQ,10,10,0,0,0,0,10,10,0,PASS
B08FXD3Z3F,5,5,0,0,0,0,5,5,0,PASS
B08FXRB2TK,19,19,0,0,0,0,19,19,0,PASS
B08FXRY7SB,18,18,0,0,0,0,18,18,0,PASS
B08FXRYLSL,12,12,0,0,0,0,12,12,0,PASS
B08FXS5TKR,5,5,0,0,0,0,5,5,0,PASS
B08FXSCF48,16,16,0,0,0,0,16,16,0,PASS
B08FXSKT7L,62,62,0,0,0,0,62,62,0,PASS
B08FXSRRDQ,5,5,0,0,0,0,5,5,0,PASS
B08FXSXMGM,16,16,0,0,0,0,16,16,0,PASS
B08FXV388J,11,11,0,0,0,0,11,11,0,PASS
B08HZ417CV,2,2,0,0,0,0,2,2,0,PASS
B08LYNF2Q5,3,3,0,0,0,0,3,3,0,PASS
B08LZ6ZHKW,2,2,0,0,0,0,2,2,0,PASS
B08NW3LPKW,0,0,0,0,0,0,0,0,0,PASS
B08NW4ZPX3,0,0,0,0,0,0,0,0,0,PASS
B08NXMD5D7,12,12,0,0,0,0,12,12,0,PASS
B08PD6QTFG,3,3,0,0,0,0,3,3,0,PASS
B08R3PLCH3,1,1,0,0,0,0,1,1,0,PASS
B08R3Q75KL,1,1,0,0,0,0,1,1,0,PASS
B08R3QC5XK,5,5,0,0,0,0,5,5,0,PASS
B08THFC1BP,1,1,0,0,0,0,1,1,0,PASS
B08THFN4K3,2,2,0,0,0,0,2,2,0,PASS
B08THFZLGK,7,7,0,0,0,0,7,7,0,PASS
B08THGV6L8,1,1,0,0,0,0,1,1,0,PASS
B08THHV6J7,16,16,0,0,0,0,16,16,0,PASS
B08THKP7SW,3,3,0,0,0,0,3,3,0,PASS
B08THKWZGB,5,5,0,0,0,0,5,5,0,PASS
B08THLVJKV,34,34,0,0,0,0,34,34,0,PASS
B08THMMJ84,1,1,0,0,0,0,1,1,0,PASS
B08THNRYWQ,6,6,0,0,0,0,6,6,0,PASS
B08TLP8FZ7,10,10,0,0,0,0,10,10,0,PASS
B08TLWS9CK,8,8,0,0,0,0,8,8,0,PASS
B08TLYYRTR,2,2,0,0,0,0,2,2,0,PASS
B08TLZQRH5,2,2,0,0,0,0,2,2,0,PASS
B08TM11NZK,1,1,0,0,0,0,1,1,0,PASS
B08TM2GGZQ,14,14,0,0,0,0,14,14,0,PASS
B08TM48R5F,35,35,0,0,0,0,35,35,0,PASS
B08TM6WZBQ,0,0,0,0,0,0,0,0,0,PASS
B08TM91W7L,10,10,0,0,0,0,10,10,0,PASS
B08TM99HCD,13,13,0,0,0,0,13,13,0,PASS
B08TM9JXKS,6,6,0,0,0,0,6,6,0,PASS
B08TMG646S,18,18,0,0,0,0,18,18,0,PASS
B08TMG9BXW,26,26,0,0,0,0,26,26,0,PASS
B08TMN53GM,8,8,0,0,0,0,8,8,0,PASS
B08TMRT292,7,7,0,0,0,0,7,7,0,PASS
B08TMTSJJF,3,3,0,0,0,0,3,3,0,PASS
B08TX1V5BV,91,91,0,0,0,0,91,91,0,PASS
B08TX216Y4,33,33,0,12,12,0,45,45,0,PASS
B08TX2837H,138,138,0,0,0,0,138,138,0,PASS
B08TX2CXR6,41,41,0,0,0,0,41,41,0,PASS
B08TX2N1T6,109,109,0,0,0,0,109,109,0,PASS
B08TX2PF6H,34,34,0,4,4,0,38,38,0,PASS
B08TX35XSK,103,103,0,0,0,0,103,103,0,PASS
B08TX3HMFJ,134,134,0,0,0,0,134,134,0,PASS
B08VD5W87X,5,5,0,0,0,0,5,5,0,PASS
B08VGFQ44L,116,116,0,0,0,0,116,116,0,PASS
B08VGHVH8R,348,348,0,60,60,0,408,408,0,PASS
B08VGL8TBR,12,12,0,0,0,0,12,12,0,PASS
B08VGLLMK8,59,59,0,0,0,0,59,59,0,PASS
B08VGLZVBD,123,123,0,0,0,0,123,123,0,PASS
B08VGM55LP,101,101,0,0,0,0,101,101,0,PASS
B08VGMKHT7,484,484,0,32,32,0,516,516,0,PASS
B08VGMNGYN,218,218,0,39,39,0,257,257,0,PASS
B08VGNL22C,39,39,0,56,56,0,95,95,0,PASS
B08VGP666V,163,163,0,60,60,0,223,223,0,PASS
B08VGPPQ48,229,229,0,500,500,0,729,729,0,PASS
B08VGPWXG1,135,135,0,0,0,0,135,135,0,PASS
B08VGPX5K5,24,24,0,93,93,0,117,117,0,PASS
B08VGQMLYX,31,31,0,67,67,0,98,98,0,PASS
B08VGRJM38,30,30,0,157,157,0,187,187,0,PASS
B08VGRYD69,24,24,0,0,0,0,24,24,0,PASS
B08X4FY3V5,34,34,0,69,69,0,103,103,0,PASS
B08XNN3SG3,9,9,0,1,1,0,10,10,0,PASS
B08XNNNTHT,15,15,0,0,0,0,15,15,0,PASS
B08XNP5V9W,10,10,0,0,0,0,10,10,0,PASS
B08XNPBYMH,34,34,0,0,0,0,34,34,0,PASS
B08XNPHRC5,1,1,0,0,0,0,1,1,0,PASS
B08XNPKHZX,26,26,0,31,31,0,57,57,0,PASS
B08XNPLC3V,7,7,0,0,0,0,7,7,0,PASS
B08XNPN8YG,16,16,0,0,0,0,16,16,0,PASS
B08XNPXBF3,30,30,0,0,0,0,30,30,0,PASS
B08XNPZBR6,14,14,0,0,0,0,14,14,0,PASS
B08XNPZZ6W,12,12,0,0,0,0,12,12,0,PASS
B08XNQ1FT7,8,8,0,0,0,0,8,8,0,PASS
B08XNQ9CYY,20,20,0,0,0,0,20,20,0,PASS
B08XNQFS2H,13,13,0,0,0,0,13,13,0,PASS
B08XNQHQFR,0,0,0,0,0,0,0,0,0,PASS
B08XNQK665,21,21,0,0,0,0,21,21,0,PASS
B08XNQPVSD,29,29,0,0,0,0,29,29,0,PASS
B08XNR7FZ9,4,4,0,0,0,0,4,4,0,PASS
B08XNS6SF7,6,6,0,0,0,0,6,6,0,PASS
B08XNSJYTG,5,5,0,0,0,0,5,5,0,PASS
B08XNSLBMC,2,2,0,0,0,0,2,2,0,PASS
B08XNSM6GD,1,1,0,0,0,0,1,1,0,PASS
B08XNTCJVV,6,6,0,0,0,0,6,6,0,PASS
B08XNTFCCH,2,2,0,0,0,0,2,2,0,PASS
B08XNTQCK7,13,13,0,0,0,0,13,13,0,PASS
B08XNTWYY2,3,3,0,0,0,0,3,3,0,PASS
B08XNV9B1M,2,2,0,0,0,0,2,2,0,PASS
B08Y6RTRS2,18,18,0,0,0,0,18,18,0,PASS
B08Y6SS1H9,3,3,0,0,0,0,3,3,0,PASS
B08Y6TQL5M,6,6,0,0,0,0,6,6,0,PASS
B08Y6TQL5N,8,8,0,0,0,0,8,8,0,PASS
B08Y6VXLNS,5,5,0,0,0,0,5,5,0,PASS
B08Y6WJDV7,2,2,0,0,0,0,2,2,0,PASS
B08Y6WMBZK,3,3,0,0,0,0,3,3,0,PASS
B08Y6WMDTC,5,5,0,0,0,0,5,5,0,PASS
B08Y6X3H98,4,4,0,0,0,0,4,4,0,PASS
B08Y6X7RJG,13,13,0,0,0,0,13,13,0,PASS
B08Y6Y5SWS,13,13,0,0,0,0,13,13,0,PASS
B08Y6YGMRV,13,13,0,0,0,0,13,13,0,PASS
B08Y6YHHXV,5,5,0,0,0,0,5,5,0,PASS
B08Y6YVHT2,2,2,0,0,0,0,2,2,0,PASS
B08Y6ZML8S,13,13,0,0,0,0,13,13,0,PASS
B08Y72NF8M,23,23,0,0,0,0,23,23,0,PASS
B08Y96BVS2,16,16,0,0,0,0,16,16,0,PASS
B091B7NP2G,53,53,0,0,0,0,53,53,0,PASS
B093H8YG8Z,121,121,0,0,0,0,121,121,0,PASS
B093H9BJWL,23,23,0,0,0,0,23,23,0,PASS
B093H9DJK7,4,4,0,0,0,0,4,4,0,PASS
B093H9RYHF,8,8,0,0,0,0,8,8,0,PASS
B093HB4S7Y,17,17,0,47,47,0,64,64,0,PASS
B093HB7L5H,17,17,0,0,0,0,17,17,0,PASS
B093HBB279,0,0,0,0,0,0,0,0,0,PASS
B093HBMN1F,19,19,0,0,0,0,19,19,0,PASS
B093HBRKWJ,16,16,0,0,0,0,16,16,0,PASS
B093HBYFJQ,4,4,0,0,0,0,4,4,0,PASS
B093HC22CM,1,1,0,0,0,0,1,1,0,PASS
B093HC597P,1,1,0,0,0,0,1,1,0,PASS
B093HC837J,20,20,0,0,0,0,20,20,0,PASS
B093HCCL5S,30,30,0,0,0,0,30,30,0,PASS
B093HCLPM8,45,45,0,0,0,0,45,45,0,PASS
B093HCQGSL,74,74,0,0,0,0,74,74,0,PASS
B093HCRHG3,3,3,0,0,0,0,3,3,0,PASS
B093HCWPJZ,1,1,0,0,0,0,1,1,0,PASS
B093PW419Y,2,2,0,0,0,0,2,2,0,PASS
B093SYR9Y5,7,7,0,0,0,0,7,7,0,PASS
B093T1J82P,28,28,0,0,0,0,28,28,0,PASS
B093T26CQL,4,4,0,0,0,0,4,4,0,PASS
B093T2C59D,8,8,0,0,0,0,8,8,0,PASS
B093T2GXBF,4,4,0,0,0,0,4,4,0,PASS
B093T2HQF5,32,32,0,0,0,0,32,32,0,PASS
B093T2J5FZ,7,7,0,0,0,0,7,7,0,PASS
B093T2KLYL,0,0,0,0,0,0,0,0,0,PASS
B093T331FJ,3,3,0,0,0,0,3,3,0,PASS
B093T37BQ8,39,39,0,3,3,0,42,42,0,PASS
B093T38VGM,53,53,0,0,0,0,53,53,0,PASS
B093T3K5GN,0,0,0,0,0,0,0,0,0,PASS
B093T3N4SS,4,4,0,0,0,0,4,4,0,PASS
B093T3PN37,28,28,0,0,0,0,28,28,0,PASS
B093T3Q47R,33,33,0,0,0,0,33,33,0,PASS
B093T3R792,0,0,0,0,0,0,0,0,0,PASS
B093T3RDX3,0,0,0,0,0,0,0,0,0,PASS
B093T3RY5B,0,0,0,0,0,0,0,0,0,PASS
B093T3TR2Y,7,7,0,0,0,0,7,7,0,PASS
B093T3WNMZ,70,70,0,4,4,0,74,74,0,PASS
B093T3YTQ7,0,0,0,0,0,0,0,0,0,PASS
B093T47DB9,29,29,0,1,1,0,30,30,0,PASS
B093T47MYR,87,87,0,0,0,0,87,87,0,PASS
B093T4BCYY,6,6,0,0,0,0,6,6,0,PASS
B093T4C3T5,10,10,0,0,0,0,10,10,0,PASS
B093T4C95B,86,86,0,0,0,0,86,86,0,PASS
B093T4FQVW,44,44,0,29,29,0,73,73,0,PASS
B093T4JFNN,0,0,0,0,0,0,0,0,0,PASS
B093T4KT3T,0,0,0,0,0,0,0,0,0,PASS
B093T4L68X,281,281,0,48,48,0,329,329,0,PASS
B093T4MX3H,0,0,0,0,0,0,0,0,0,PASS
B093T4RJ2F,0,0,0,0,0,0,0,0,0,PASS
