asin,source_fbm_quantity,html_fbm_quantity,fbm_diff,source_fba_quantity,html_fba_quantity,fba_diff,source_amazon_quantity,html_amazon_quantity,amazon_qty_diff,result
B07WP51SL6,9,9,0,0,0,0,9,9,0,PASS
B07YZLMKQK,0,0,0,0,0,0,0,0,0,PASS
B084MG7VWS,5,5,0,0,0,0,5,5,0,PASS
B084RC5DQG,1,1,0,0,0,0,1,1,0,PASS
B084SRKT9H,0,0,0,0,0,0,0,0,0,PASS
B084SWSKBF,0,0,0,0,0,0,0,0,0,PASS
B086YSPMYX,1,1,0,0,0,0,1,1,0,PASS
B08996H95C,1,1,0,0,0,0,1,1,0,PASS
B08999M992,4,4,0,0,0,0,4,4,0,PASS
B0899R8JXK,2,2,0,0,0,0,2,2,0,PASS
B08DK37N5Y,3,3,0,0,0,0,3,3,0,PASS
B08DK76YF6,18,18,0,0,0,0,18,18,0,PASS
B08DK9V4KM,5,5,0,0,0,0,5,5,0,PASS
B08DKKTNGY,7,7,0,0,0,0,7,7,0,PASS
B08DKLGDYK,13,13,0,0,0,0,13,13,0,PASS
B08DKMMQS7,2,2,0,2,2,0,4,4,0,PASS
B08DKQP89H,23,23,0,4,4,0,27,27,0,PASS
B08DKQPKYC,3,3,0,0,0,0,3,3,0,PASS
B08DKQPVX6,5,5,0,0,0,0,5,5,0,PASS
B08DQTFMHS,3,3,0,0,0,0,3,3,0,PASS
B08DR2NXGH,6,6,0,0,0,0,6,6,0,PASS
B08DR5S9J5,54,54,0,0,0,0,54,54,0,PASS
B08DR9NXTT,11,11,0,0,0,0,11,11,0,PASS
B08FXC7DRQ,15,15,0,0,0,0,15,15,0,PASS
B08FXD3Z3F,6,6,0,0,0,0,6,6,0,PASS
B08FXRB2TK,23,23,0,0,0,0,23,23,0,PASS
B08FXRY7SB,23,23,0,0,0,0,23,23,0,PASS
B08FXRYLSL,31,31,0,0,0,0,31,31,0,PASS
B08FXS5TKR,7,7,0,0,0,0,7,7,0,PASS
B08FXSCF48,20,20,0,0,0,0,20,20,0,PASS
B08FXSKT7L,90,90,0,0,0,0,90,90,0,PASS
B08FXSRRDQ,5,5,0,0,0,0,5,5,0,PASS
B08FXSXMGM,18,18,0,0,0,0,18,18,0,PASS
B08FXV388J,15,15,0,0,0,0,15,15,0,PASS
B08HZ417CV,2,2,0,0,0,0,2,2,0,PASS
B08LYNF2Q5,3,3,0,0,0,0,3,3,0,PASS
B08LZ6ZHKW,2,2,0,0,0,0,2,2,0,PASS
B08NW3LPKW,0,0,0,0,0,0,0,0,0,PASS
B08NW4ZPX3,0,0,0,0,0,0,0,0,0,PASS
B08NXMD5D7,16,16,0,0,0,0,16,16,0,PASS
B08PD6QTFG,13,13,0,0,0,0,13,13,0,PASS
B08R3PLCH3,5,5,0,0,0,0,5,5,0,PASS
B08R3Q75KL,5,5,0,0,0,0,5,5,0,PASS
B08R3QC5XK,5,5,0,0,0,0,5,5,0,PASS
B08THFC1BP,1,1,0,0,0,0,1,1,0,PASS
B08THFN4K3,3,3,0,0,0,0,3,3,0,PASS
B08THFZLGK,7,7,0,0,0,0,7,7,0,PASS
B08THGV6L8,2,2,0,0,0,0,2,2,0,PASS
B08THHV6J7,23,23,0,0,0,0,23,23,0,PASS
B08THKP7SW,4,4,0,0,0,0,4,4,0,PASS
B08THKWZGB,7,7,0,0,0,0,7,7,0,PASS
B08THLVJKV,45,45,0,0,0,0,45,45,0,PASS
B08THMMJ84,1,1,0,0,0,0,1,1,0,PASS
B08THNRYWQ,8,8,0,0,0,0,8,8,0,PASS
B08TLP8FZ7,10,10,0,0,0,0,10,10,0,PASS
B08TLWS9CK,9,9,0,0,0,0,9,9,0,PASS
B08TLYYRTR,8,8,0,0,0,0,8,8,0,PASS
B08TLZQRH5,3,3,0,0,0,0,3,3,0,PASS
B08TM11NZK,1,1,0,0,0,0,1,1,0,PASS
B08TM2GGZQ,14,14,0,0,0,0,14,14,0,PASS
B08TM48R5F,44,44,0,0,0,0,44,44,0,PASS
B08TM6WZBQ,0,0,0,0,0,0,0,0,0,PASS
B08TM91W7L,14,14,0,0,0,0,14,14,0,PASS
B08TM99HCD,15,15,0,0,0,0,15,15,0,PASS
B08TM9JXKS,11,11,0,0,0,0,11,11,0,PASS
B08TMG646S,22,22,0,0,0,0,22,22,0,PASS
B08TMG9BXW,37,37,0,0,0,0,37,37,0,PASS
B08TMN53GM,14,14,0,0,0,0,14,14,0,PASS
B08TMRT292,10,10,0,0,0,0,10,10,0,PASS
B08TMTSJJF,6,6,0,0,0,0,6,6,0,PASS
B08TX1V5BV,106,106,0,0,0,0,106,106,0,PASS
B08TX216Y4,43,43,0,12,12,0,55,55,0,PASS
B08TX2837H,157,157,0,0,0,0,157,157,0,PASS
B08TX2CXR6,57,57,0,0,0,0,57,57,0,PASS
B08TX2N1T6,131,131,0,0,0,0,131,131,0,PASS
B08TX2PF6H,37,37,0,4,4,0,41,41,0,PASS
B08TX35XSK,141,141,0,0,0,0,141,141,0,PASS
B08TX3HMFJ,147,147,0,0,0,0,147,147,0,PASS
B08VD5W87X,5,5,0,0,0,0,5,5,0,PASS
B08VGFQ44L,153,153,0,0,0,0,153,153,0,PASS
B08VGHVH8R,501,501,0,67,67,0,568,568,0,PASS
B08VGL8TBR,16,16,0,0,0,0,16,16,0,PASS
B08VGLLMK8,67,67,0,0,0,0,67,67,0,PASS
B08VGLZVBD,150,150,0,0,0,0,150,150,0,PASS
B08VGM55LP,109,109,0,0,0,0,109,109,0,PASS
B08VGMKHT7,644,644,0,33,33,0,677,677,0,PASS
B08VGMNGYN,307,307,0,42,42,0,349,349,0,PASS
B08VGNL22C,44,44,0,65,65,0,109,109,0,PASS
B08VGP666V,184,184,0,69,69,0,253,253,0,PASS
B08VGPPQ48,275,275,0,555,555,0,830,830,0,PASS
B08VGPWXG1,169,169,0,0,0,0,169,169,0,PASS
B08VGPX5K5,32,32,0,114,114,0,146,146,0,PASS
B08VGQMLYX,31,31,0,69,69,0,100,100,0,PASS
B08VGRJM38,40,40,0,183,183,0,223,223,0,PASS
B08VGRYD69,26,26,0,0,0,0,26,26,0,PASS
B08X4FY3V5,60,60,0,85,85,0,145,145,0,PASS
B08XNN3SG3,21,21,0,1,1,0,22,22,0,PASS
B08XNNNTHT,19,19,0,0,0,0,19,19,0,PASS
B08XNP5V9W,12,12,0,0,0,0,12,12,0,PASS
B08XNPBYMH,37,37,0,0,0,0,37,37,0,PASS
B08XNPHRC5,2,2,0,0,0,0,2,2,0,PASS
B08XNPKHZX,30,30,0,36,36,0,66,66,0,PASS
B08XNPLC3V,9,9,0,0,0,0,9,9,0,PASS
B08XNPN8YG,26,26,0,0,0,0,26,26,0,PASS
B08XNPXBF3,37,37,0,0,0,0,37,37,0,PASS
B08XNPZBR6,19,19,0,0,0,0,19,19,0,PASS
B08XNPZZ6W,45,45,0,0,0,0,45,45,0,PASS
B08XNQ1FT7,12,12,0,0,0,0,12,12,0,PASS
B08XNQ9CYY,23,23,0,0,0,0,23,23,0,PASS
B08XNQFS2H,14,14,0,0,0,0,14,14,0,PASS
B08XNQHQFR,0,0,0,0,0,0,0,0,0,PASS
B08XNQK665,43,43,0,0,0,0,43,43,0,PASS
B08XNQPVSD,35,35,0,0,0,0,35,35,0,PASS
B08XNR7FZ9,4,4,0,0,0,0,4,4,0,PASS
B08XNS6SF7,9,9,0,0,0,0,9,9,0,PASS
B08XNSJYTG,8,8,0,0,0,0,8,8,0,PASS
B08XNSLBMC,3,3,0,0,0,0,3,3,0,PASS
B08XNSM6GD,1,1,0,0,0,0,1,1,0,PASS
B08XNTCJVV,7,7,0,0,0,0,7,7,0,PASS
B08XNTFCCH,3,3,0,0,0,0,3,3,0,PASS
B08XNTQCK7,15,15,0,0,0,0,15,15,0,PASS
B08XNTWYY2,3,3,0,0,0,0,3,3,0,PASS
B08XNV9B1M,3,3,0,0,0,0,3,3,0,PASS
B08Y6RTRS2,27,27,0,0,0,0,27,27,0,PASS
B08Y6SS1H9,4,4,0,0,0,0,4,4,0,PASS
B08Y6TQL5M,6,6,0,0,0,0,6,6,0,PASS
B08Y6TQL5N,8,8,0,0,0,0,8,8,0,PASS
B08Y6VXLNS,6,6,0,0,0,0,6,6,0,PASS
B08Y6WJDV7,2,2,0,0,0,0,2,2,0,PASS
B08Y6WMBZK,6,6,0,0,0,0,6,6,0,PASS
B08Y6WMDTC,5,5,0,0,0,0,5,5,0,PASS
B08Y6X3H98,4,4,0,0,0,0,4,4,0,PASS
B08Y6X7RJG,15,15,0,0,0,0,15,15,0,PASS
B08Y6Y5SWS,15,15,0,0,0,0,15,15,0,PASS
B08Y6YGMRV,37,37,0,0,0,0,37,37,0,PASS
B08Y6YHHXV,6,6,0,0,0,0,6,6,0,PASS
B08Y6YVHT2,2,2,0,0,0,0,2,2,0,PASS
B08Y6ZML8S,17,17,0,0,0,0,17,17,0,PASS
B08Y72NF8M,36,36,0,0,0,0,36,36,0,PASS
B08Y96BVS2,31,31,0,0,0,0,31,31,0,PASS
