asin,source_fbm_sales,html_fbm_sales,fbm_diff,source_fba_sales,html_fba_sales,fba_diff,source_amazon_sales,html_amazon_sales,amazon_sales_diff,result
B07WP51SL6,149.65,149.65,0,0,0,0,149.65,149.65,0,PASS
B07YZLMKQK,0,0,0,0,0,0,0,0,0,PASS
B084MG7VWS,57.85,57.85,0,0,0,0,57.85,57.85,0,PASS
B084RC5DQG,19.07,19.07,0,0,0,0,19.07,19.07,0,PASS
B084SRKT9H,0,0,0,0,0,0,0,0,0,PASS
B084SWSKBF,0,0,0,0,0,0,0,0,0,PASS
B086YSPMYX,8.99,8.99,0,0,0,0,8.99,8.99,0,PASS
B08996H95C,9.99,9.99,0,0,0,0,9.99,9.99,0,PASS
B08999M992,39.96,39.96,0,0,0,0,39.96,39.96,0,PASS
B0899R8JXK,19.98,19.98,0,0,0,0,19.98,19.98,0,PASS
B08DK37N5Y,52.67,52.67,0,0,0,0,52.67,52.67,0,PASS
B08DK76YF6,302.52,302.52,0,0,0,0,302.52,302.52,0,PASS
B08DK9V4KM,66.01,66.01,0,0,0,0,66.01,66.01,0,PASS
B08DKKTNGY,111.83,111.83,0,0,0,0,111.83,111.83,0,PASS
B08DKLGDYK,202.67,202.67,0,0,0,0,202.67,202.67,0,PASS
B08DKMMQS7,31.98,31.98,0,31.78,31.78,0,63.76,63.76,0,PASS
B08DKQP89H,360.5,360.5,0,104.84,104.84,0,465.34,465.34,0,PASS
B08DKQPKYC,47.67,47.67,0,0,0,0,47.67,47.67,0,PASS
B08DKQPVX6,84.85,84.85,0,0,0,0,84.85,84.85,0,PASS
B08DQTFMHS,55.27,55.27,0,0,0,0,55.27,55.27,0,PASS
B08DR2NXGH,95.34,95.34,0,0,0,0,95.34,95.34,0,PASS
B08DR5S9J5,791.58,791.58,0,0,0,0,791.58,791.58,0,PASS
B08DR9NXTT,168.74,168.74,0,0,0,0,168.74,168.74,0,PASS
B08FXC7DRQ,153.37,153.37,0,0,0,0,153.37,153.37,0,PASS
B08FXD3Z3F,64.74,64.74,0,0,0,0,64.74,64.74,0,PASS
B08FXRB2TK,248.17,248.17,0,0,0,0,248.17,248.17,0,PASS
B08FXRY7SB,250.47,250.47,0,0,0,0,250.47,250.47,0,PASS
B08FXRYLSL,317.33,317.33,0,0,0,0,317.33,317.33,0,PASS
B08FXS5TKR,75.53,75.53,0,0,0,0,75.53,75.53,0,PASS
B08FXSCF48,215.8,215.8,0,0,0,0,215.8,215.8,0,PASS
B08FXSKT7L,969.76,969.76,0,0,0,0,969.76,969.76,0,PASS
B08FXSRRDQ,53.95,53.95,0,0,0,0,53.95,53.95,0,PASS
B08FXSXMGM,202.13,202.13,0,0,0,0,202.13,202.13,0,PASS
B08FXV388J,175.35,175.35,0,0,0,0,175.35,175.35,0,PASS
B08HZ417CV,51.78,51.78,0,0,0,0,51.78,51.78,0,PASS
B08LYNF2Q5,52.23,52.23,0,0,0,0,52.23,52.23,0,PASS
B08LZ6ZHKW,34.82,34.82,0,0,0,0,34.82,34.82,0,PASS
B08NW3LPKW,0,0,0,0,0,0,0,0,0,PASS
B08NW4ZPX3,0,0,0,0,0,0,0,0,0,PASS
B08NXMD5D7,166.76,166.76,0,0,0,0,166.76,166.76,0,PASS
B08PD6QTFG,169.33,169.33,0,0,0,0,169.33,169.33,0,PASS
B08R3PLCH3,59.45,59.45,0,0,0,0,59.45,59.45,0,PASS
B08R3Q75KL,69.45,69.45,0,0,0,0,69.45,69.45,0,PASS
B08R3QC5XK,59.45,59.45,0,0,0,0,59.45,59.45,0,PASS
B08THFC1BP,17.89,17.89,0,0,0,0,17.89,17.89,0,PASS
B08THFN4K3,49.17,49.17,0,0,0,0,49.17,49.17,0,PASS
B08THFZLGK,110.73,110.73,0,0,0,0,110.73,110.73,0,PASS
B08THGV6L8,32.78,32.78,0,0,0,0,32.78,32.78,0,PASS
B08THHV6J7,354.47,354.47,0,0,0,0,354.47,354.47,0,PASS
B08THKP7SW,63.56,63.56,0,0,0,0,63.56,63.56,0,PASS
B08THKWZGB,118.23,118.23,0,0,0,0,118.23,118.23,0,PASS
B08THLVJKV,691.1,691.1,0,0,0,0,691.1,691.1,0,PASS
B08THMMJ84,18.69,18.69,0,0,0,0,18.69,18.69,0,PASS
B08THNRYWQ,127.12,127.12,0,0,0,0,127.12,127.12,0,PASS
B08TLP8FZ7,108.9,108.9,0,0,0,0,108.9,108.9,0,PASS
B08TLWS9CK,107.01,107.01,0,0,0,0,107.01,107.01,0,PASS
B08TLYYRTR,95.12,95.12,0,0,0,0,95.12,95.12,0,PASS
B08TLZQRH5,40.47,40.47,0,0,0,0,40.47,40.47,0,PASS
B08TM11NZK,14.99,14.99,0,0,0,0,14.99,14.99,0,PASS
B08TM2GGZQ,164.24,164.24,0,0,0,0,164.24,164.24,0,PASS
B08TM48R5F,499.38,499.38,0,0,0,0,499.38,499.38,0,PASS
B08TM6WZBQ,0,0,0,0,0,0,0,0,0,PASS
B08TM91W7L,194.46,194.46,0,0,0,0,194.46,194.46,0,PASS
B08TM99HCD,153.86,153.86,0,0,0,0,153.86,153.86,0,PASS
B08TM9JXKS,152.79,152.79,0,0,0,0,152.79,152.79,0,PASS
B08TMG646S,239.58,239.58,0,0,0,0,239.58,239.58,0,PASS
B08TMG9BXW,391.54,391.54,0,0,0,0,391.54,391.54,0,PASS
B08TMN53GM,152.46,152.46,0,0,0,0,152.46,152.46,0,PASS
B08TMRT292,118.9,118.9,0,0,0,0,118.9,118.9,0,PASS
B08TMTSJJF,71.34,71.34,0,0,0,0,71.34,71.34,0,PASS
B08TX1V5BV,1500.45,1500.45,0,0,0,0,1500.45,1500.45,0,PASS
B08TX216Y4,651.17,651.17,0,149.9,149.9,0,801.07,801.07,0,PASS
B08TX2837H,2353.5,2353.5,0,0,0,0,2353.5,2353.5,0,PASS
B08TX2CXR6,838.55,838.55,0,0,0,0,838.55,838.55,0,PASS
B08TX2N1T6,1954.58,1954.58,0,0,0,0,1954.58,1954.58,0,PASS
B08TX2PF6H,541.24,541.24,0,44.97,44.97,0,586.21,586.21,0,PASS
B08TX35XSK,2015.01,2015.01,0,0,0,0,2015.01,2015.01,0,PASS
B08TX3HMFJ,2193.65,2193.65,0,0,0,0,2193.65,2193.65,0,PASS
B08VD5W87X,78.75,78.75,0,0,0,0,78.75,78.75,0,PASS
B08VGFQ44L,2281.83,2281.83,0,0,0,0,2281.83,2281.83,0,PASS
B08VGHVH8R,7851.22,7851.22,0,1080.92,1080.92,0,8932.14,8932.14,0,PASS
