asin,source_selected_image_url,html_image_url,valid_listing_rows,distinct_image_count,result
B07WP51SL6,https://m.media-amazon.com/images/I/31q5TSKfyzL.jpg,https://m.media-amazon.com/images/I/31q5TSKfyzL.jpg,1,1,PASS
B07YZLMKQK,https://m.media-amazon.com/images/I/419E3J8R1PL.jpg,https://m.media-amazon.com/images/I/419E3J8R1PL.jpg,1,1,PASS
B084MG7VWS,https://m.media-amazon.com/images/I/51CxzFmsD8L.jpg,https://m.media-amazon.com/images/I/51CxzFmsD8L.jpg,2,1,PASS
B084RC5DQG,https://m.media-amazon.com/images/I/51csBjQLC7L.jpg,https://m.media-amazon.com/images/I/51csBjQLC7L.jpg,1,1,PASS
B084SRKT9H,https://m.media-amazon.com/images/I/31N55b4tB7L.jpg,https://m.media-amazon.com/images/I/31N55b4tB7L.jpg,1,1,PASS
B084SWSKBF,https://m.media-amazon.com/images/I/31THolgCvWL.jpg,https://m.media-amazon.com/images/I/31THolgCvWL.jpg,1,1,PASS
B086YSPMYX,https://m.media-amazon.com/images/I/21BdrXbt-vL.jpg,https://m.media-amazon.com/images/I/21BdrXbt-vL.jpg,1,1,PASS
B08996H95C,https://m.media-amazon.com/images/I/21pYBQJ4hDL.jpg,https://m.media-amazon.com/images/I/21pYBQJ4hDL.jpg,1,1,PASS
B08999M992,https://m.media-amazon.com/images/I/415RLa1flmL.jpg,https://m.media-amazon.com/images/I/415RLa1flmL.jpg,1,1,PASS
B0899R8JXK,https://m.media-amazon.com/images/I/71dB6TLZqRL.jpg,https://m.media-amazon.com/images/I/71dB6TLZqRL.jpg,1,1,PASS
B08DK37N5Y,https://m.media-amazon.com/images/I/21G0HC477NL.jpg,https://m.media-amazon.com/images/I/21G0HC477NL.jpg,1,1,PASS
B08DK76YF6,https://m.media-amazon.com/images/I/41CHYpPbpNL.jpg,https://m.media-amazon.com/images/I/41CHYpPbpNL.jpg,1,1,PASS
B08DK9V4KM,https://m.media-amazon.com/images/I/21U3smGbTWL.jpg,https://m.media-amazon.com/images/I/21U3smGbTWL.jpg,2,1,PASS
B08DKKTNGY,https://m.media-amazon.com/images/I/21WJOre6FgL.jpg,https://m.media-amazon.com/images/I/21WJOre6FgL.jpg,1,1,PASS
B08DKLGDYK,https://m.media-amazon.com/images/I/51UpBPnfUWL.jpg,https://m.media-amazon.com/images/I/51UpBPnfUWL.jpg,1,1,PASS
B08DKMMQS7,https://m.media-amazon.com/images/I/41IW0eLhqZL.jpg,https://m.media-amazon.com/images/I/41IW0eLhqZL.jpg,2,1,PASS
B08DKQP89H,https://m.media-amazon.com/images/I/41QBHBnwniL.jpg,https://m.media-amazon.com/images/I/41QBHBnwniL.jpg,2,2,PASS
B08DKQPKYC,https://m.media-amazon.com/images/I/312ff6Op6CL.jpg,https://m.media-amazon.com/images/I/312ff6Op6CL.jpg,1,1,PASS
B08DKQPVX6,https://m.media-amazon.com/images/I/41h0D2L0LzL.jpg,https://m.media-amazon.com/images/I/41h0D2L0LzL.jpg,1,1,PASS
B08DQTFMHS,https://m.media-amazon.com/images/I/21G0HC477NL.jpg,https://m.media-amazon.com/images/I/21G0HC477NL.jpg,2,1,PASS
B08DR2NXGH,https://m.media-amazon.com/images/I/312V77gzQsL.jpg,https://m.media-amazon.com/images/I/312V77gzQsL.jpg,2,2,PASS
B08DR5S9J5,https://m.media-amazon.com/images/I/31ErdegkW7L.jpg,https://m.media-amazon.com/images/I/31ErdegkW7L.jpg,2,2,PASS
B08DR9NXTT,https://m.media-amazon.com/images/I/41cnY9HR5JL.jpg,https://m.media-amazon.com/images/I/41cnY9HR5JL.jpg,2,2,PASS
B08FXC7DRQ,https://m.media-amazon.com/images/I/518jD+VljiL.jpg,https://m.media-amazon.com/images/I/518jD+VljiL.jpg,1,1,PASS
B08FXD3Z3F,https://m.media-amazon.com/images/I/51Keqf-EpSL.jpg,https://m.media-amazon.com/images/I/51Keqf-EpSL.jpg,1,1,PASS
B08FXRB2TK,https://m.media-amazon.com/images/I/41UyD2r53vL.jpg,https://m.media-amazon.com/images/I/41UyD2r53vL.jpg,1,1,PASS
B08FXRY7SB,https://m.media-amazon.com/images/I/313-8x9tpqL.jpg,https://m.media-amazon.com/images/I/313-8x9tpqL.jpg,1,1,PASS
B08FXRYLSL,https://m.media-amazon.com/images/I/41AzY48JYwL.jpg,https://m.media-amazon.com/images/I/41AzY48JYwL.jpg,1,1,PASS
B08FXS5TKR,https://m.media-amazon.com/images/I/41eWoQR9xYL.jpg,https://m.media-amazon.com/images/I/41eWoQR9xYL.jpg,1,1,PASS
B08FXSCF48,https://m.media-amazon.com/images/I/21ffoY88BoL.jpg,https://m.media-amazon.com/images/I/21ffoY88BoL.jpg,1,1,PASS
B08FXSKT7L,https://m.media-amazon.com/images/I/210jlfz0UEL.jpg,https://m.media-amazon.com/images/I/210jlfz0UEL.jpg,1,1,PASS
B08FXSRRDQ,https://m.media-amazon.com/images/I/41YXsc0Fw8L.jpg,https://m.media-amazon.com/images/I/41YXsc0Fw8L.jpg,1,1,PASS
B08FXSXMGM,https://m.media-amazon.com/images/I/31fJvWmoTlL.jpg,https://m.media-amazon.com/images/I/31fJvWmoTlL.jpg,1,1,PASS
B08FXV388J,https://m.media-amazon.com/images/I/31vkwU4T0SL.jpg,https://m.media-amazon.com/images/I/31vkwU4T0SL.jpg,1,1,PASS
B08HZ417CV,https://m.media-amazon.com/images/I/31XivIBkU0L.jpg,https://m.media-amazon.com/images/I/31XivIBkU0L.jpg,1,1,PASS
B08LYNF2Q5,https://m.media-amazon.com/images/I/419uy0a4ERL.jpg,https://m.media-amazon.com/images/I/419uy0a4ERL.jpg,1,1,PASS
B08LZ6ZHKW,https://m.media-amazon.com/images/I/41Y6nu+xX8L.jpg,https://m.media-amazon.com/images/I/41Y6nu+xX8L.jpg,1,1,PASS
