asin,source_vendor_sales,html_vendor_sales,vendor_sales_diff,source_vendor_units,html_vendor_units,vendor_units_diff,result
B07WP51SL6,0,0,0,0,0,0,PASS
B07YZLMKQK,0,0,0,0,0,0,PASS
B084MG7VWS,0,0,0,0,0,0,PASS
B084RC5DQG,0,0,0,0,0,0,PASS
B084SRKT9H,0,0,0,0,0,0,PASS
B084SWSKBF,0,0,0,0,0,0,PASS
B086YSPMYX,0,0,0,0,0,0,PASS
B08996H95C,0,0,0,0,0,0,PASS
B08999M992,0,0,0,0,0,0,PASS
B0899R8JXK,0,0,0,0,0,0,PASS
B08DK37N5Y,0,0,0,0,0,0,PASS
B08DK76YF6,0,0,0,0,0,0,PASS
B08DK9V4KM,0,0,0,0,0,0,PASS
B08DKKTNGY,0,0,0,0,0,0,PASS
B08DKLGDYK,0,0,0,0,0,0,PASS
B08DKMMQS7,0,0,0,0,0,0,PASS
B08DKQP89H,0,0,0,0,0,0,PASS
B08DKQPKYC,0,0,0,0,0,0,PASS
B08DKQPVX6,0,0,0,0,0,0,PASS
B08DQTFMHS,0,0,0,0,0,0,PASS
B08DR2NXGH,0,0,0,0,0,0,PASS
B08DR5S9J5,0,0,0,0,0,0,PASS
B08DR9NXTT,0,0,0,0,0,0,PASS
B08FXC7DRQ,0,0,0,0,0,0,PASS
B08FXD3Z3F,0,0,0,0,0,0,PASS
B08FXRB2TK,0,0,0,0,0,0,PASS
B08FXRY7SB,0,0,0,0,0,0,PASS
B08FXRYLSL,0,0,0,0,0,0,PASS
B08FXS5TKR,0,0,0,0,0,0,PASS
B08FXSCF48,0,0,0,0,0,0,PASS
B08FXSKT7L,0,0,0,0,0,0,PASS
B08FXSRRDQ,0,0,0,0,0,0,PASS
B08FXSXMGM,0,0,0,0,0,0,PASS
B08FXV388J,0,0,0,0,0,0,PASS
B08HZ417CV,0,0,0,0,0,0,PASS
B08LYNF2Q5,0,0,0,0,0,0,PASS
B08LZ6ZHKW,0,0,0,0,0,0,PASS
B08NW3LPKW,0,0,0,0,0,0,PASS
B08NW4ZPX3,0,0,0,0,0,0,PASS
B08NXMD5D7,0,0,0,0,0,0,PASS
B08PD6QTFG,0,0,0,0,0,0,PASS
B08R3PLCH3,0,0,0,0,0,0,PASS
B08R3Q75KL,0,0,0,0,0,0,PASS
B08R3QC5XK,0,0,0,0,0,0,PASS
B08THFC1BP,0,0,0,0,0,0,PASS
B08THFN4K3,0,0,0,0,0,0,PASS
B08THFZLGK,0,0,0,0,0,0,PASS
B08THGV6L8,0,0,0,0,0,0,PASS
B08THHV6J7,0,0,0,0,0,0,PASS
B08THKP7SW,0,0,0,0,0,0,PASS
B08THKWZGB,0,0,0,0,0,0,PASS
B08THLVJKV,0,0,0,0,0,0,PASS
B08THMMJ84,0,0,0,0,0,0,PASS
