order_item_info,order_date,raw_status,trimmed_status,normalized_status,source_name,fulfilment_type,included,exclusion_reason
1176436,2026-06-01 11:36:02,Completed,Completed,completed,AMAZON,FBM,YES,
1177733,2026-06-01 11:36:02,Completed,Completed,completed,REPLACEMENT,FBM,YES (production rule only - not in business AMAZON-only definition),Counted as an Order because source_name IN ('AMAZON','REPLACEMENT'); business's manual AMAZON-only expectation excludes this row
1177312,2026-06-02 14:54:02,Completed,Completed,completed,AMAZON,FBM,YES,
1178098,2026-06-03 16:47:48,Completed,Completed,completed,AMAZON,FBM,YES,
1179352,2026-06-05 14:29:24,Completed,Completed,completed,AMAZON,FBM,YES,
1179735,2026-06-06 09:59:59,Completed,Completed,completed,AMAZON,FBM,YES,
1181094,2026-06-08 08:09:39,Completed,Completed,completed,AMAZON,FBM,YES,
1181159,2026-06-08 09:48:46,Completed,Completed,completed,AMAZON,FBM,YES,
1181838,2026-06-09 07:14:53,Completed,Completed,completed,AMAZON,FBM,YES,
1185494,2026-06-15 00:57:16,Completed,Completed,completed,AMAZON,FBM,YES,
1185698,2026-06-15 10:45:54,Completed,Completed,completed,AMAZON,FBM,YES,
1185770,2026-06-15 12:33:02,Completed,Completed,completed,AMAZON,FBM,YES,
1020120000000,2026-06-18 13:42:36,Completed,Completed,completed,AMAZON,FBA,YES,
1034130000000,2026-06-24 13:58:27,Canceled,Canceled,canceled,AMAZON,FBA,NO,status is Canceled - excluded by dynamic status rule (NOT IN ('Cancelled','Canceled'))
1036640000000,2026-06-25 03:44:16,Completed,Completed,completed,AMAZON,FBA,YES,
1191221,2026-06-25 14:29:52,Completed,Completed,completed,AMAZON,FBM,YES,
1192065,2026-06-27 09:37:53,Refunded,Refunded,refunded,AMAZON,FBM,YES,
1193771,2026-06-30 07:03:10,Completed,Completed,completed,AMAZON,FBM,YES,
